,d,"Hund, wild, mild, südlich",,,,,,d,"Hun\ee{d}, wil\ee{d}, mil\ee{d}, sü\ee{d}lich",,,
,dt,"Schmidt, verwandt",,,,,,dt,"Schmi\ee{dt}, verwan\ee{dt}",,,
/k/,k,"Kiste, Korb, kommen",/g/,g,"Gast, Geld, gut, Garten",,/k/,k,"\ee{K}iste, \ee{K}orb, \ee{k}ommen",/g/,g,"\ee{G}ast, \ee{G}eld, \ee{g}ut, \ee{G}arten"
,kk,Akku,,gg,"Joggen, Knigge, Flagge",,,kk,A\ee{kk}u,,gg,"Jo\ee{gg}en, Kni\ee{gg}e, Fla\ee{gg}e"
,g,"Tag, Burg, Weg",,,,,,g,"Ta\ee{g}, Bur\ee{g}, We\ee{g}",,,
,ck,"Ecke, hacken, wecken",,,,,,ck,"E\ee{ck}e, ha\ee{ck}en, we\ee{ck}en",,,
,ck,Clown Café,,,,,,ck,Clown Café,,,
,ch,"chaotisch, Chor, Chlor, Charakter",,,,,,ch,"\ee{ch}aotis\ee{ch}, \ee{Ch}or, \ee{Ch}lor, \ee{Ch}arakter",,,
/m/,m,"Mund, Mutter, morgen",/n/,n,"Nase, Note, Name, nein",,/m/,m,"\ee{M}und, \ee{M}utter, \ee{m}orgen",/n/,n,"\ee{N}ase, \ee{N}ote, \ee{N}ame, \ee{n}ei\ee{n}"
,mm,"Komma, dumm, Kamm",,nn,"können, kennen, beginnen",,,mm,"Ko\ee{mm}a, du\ee{mm}, Ka\ee{mm}",,nn,"kö\ee{nn}en, ke\ee{nn}en, begi\ee{nn}en"
/l/,l,"Liebe, Lied, kalt, Gold",/r/,r,"Reise, Rose, reden, grün",,/l/,l,"\ee{L}iebe, \ee{L}ied, ka\ee{l}t, Go\ee{l}d",/r/,r,"\ee{R}eise, \ee{R}ose, \ee{r}eden, g\ee{r}ün"
,ll,"Ball, hell, gefallen, toll",,rr,"korrigieren, Bürre, irren",,,ll,"Ba\ee{ll}, he\ee{ll}, gefa\ee{ll}en, to\ee{ll}",,rr,"ko\ee{rr}igieren, Bü\ee{rr}e, i\ee{rr}en"
,,,,rh,"Rhein, Rhythmus, Rhetorik",,,,,,rh,"\ee{Rh}ein, \ee{Rh}ythmus, \ee{Rh}etorik"
/f/,f,"Familie, Fernseher, Feind",/v/,w,"Wetter, Wein, Wohnung",,/f/,f,"\ee{F}amilie, \ee{F}ernseher, \ee{F}eind",/v/,w,"\ee{W}etter, \ee{W}ein, \ee{W}ohnung"
,ff,"Kartoffel, Griff, öffnen",,v,"Vase, Visum, Vokale",,,ff,"Karto\ee{ff}el, Gri\ee{ff}, ö\ee{ff}nen",,v,"\ee{V}ase, \ee{V}isum, \ee{V}okale"
,v,"Vater, informativ, subjektiv",,,,,,v,"\ee{V}ater, informati\ee{v}, subjekti\ee{v}",,,
,ph,"Photo, Phase, Physik",,,,,,ph,"\ee{Ph}oto, \ee{Ph}ase, \ee{Ph}ysik",,,
/s/,s,"Skandal, Haus, Bus, Eis",/z/,s,"Sommer, Sie, sagen, sein, Version, Vision",,/s/,s,"\ee{S}kandal, Hau\ee{s}, Bu\ee{s}, Ei\ee{s}",/z/,s,"\ee{S}ommer, \ee{S}ie, \ee{s}agen, \ee{s}ein, Ver\ee{s}ion, Vi\ee{s}ion"
,ss,"Nuss, Wasser, essen, Diskussion",,,,,,ss,"Nu\ee{ss}, Wa\ee{ss}er, e\ee{ss}en, Disku\ee{ss}ion",,,
,ß,"Soße, genießen, weiß",,,,,,ß,"So\ee{ß}e, genie\ee{ß}en, wei\ee{ß}",,,
/ts/,z,"Zahl, Zeit, Zoo, zeigen, zerstören",/ʃ/,sch,"Schulter, waschen, kindisch",,/ts/,z,"\ee{Z}ahl, \ee{Z}eit, \ee{Z}oo, \ee{z}eigen, \ee{z}erstören",/ʃ/,sch,"\ee{Sch}ulter, wa\ee{sch}en, kindi\ee{sch}"
,c,"Celsius, circa, Mercedes",,ch,"Chef, Chance, Chauffeur",,,c,"\ee{C}elsius, \ee{c}ir\ee{c}a, Mer\ee{c}edes",,ch,"\ee{Ch}ef, \ee{Ch}ance, \ee{Ch}auffeur"
,tz,"Katze, Platz, jetzt, Sitz",/tʃ/,tsch,"Deutschland, rutschen",,,tz,"Ka\ee{tz}e, Pla\ee{tz}, je\ee{tz}t, Si\ee{tz}",/tʃ/,tsch,"Deu\ee{tsch}land, ru\ee{tsch}en"
,ts,"Rätsel, nichts, bereits",,,,,,ts,"Rä\ee{ts}el, nich\ee{ts}, berei\ee{ts}",,,
,ds,"abends, nirgends",,,,,,ds,"aben\ee{ds}, nirgen\ee{ds}",,,
,ti,"Patient, Nation, Funktion, Lektion",,,,,,ti,"Pa\ee{ti}ent, Na\ee{ti}on, Funk\ee{ti}on, Lek\ee{ti}on",,,
/ʃp/,sp,"Sprache, sprechen, Sprudel",/ʃb/,sp,"Sport, Speise, Verspätung",,/ʃp/,sp,"\ee{Sp}rache, \ee{sp}rechen, \ee{Sp}rudel",/ʃb/,sp,"\ee{Sp}ort, \ee{Sp}eise, Ver\ee{sp}ätung"
/ʃt/,st,"Strand, Stress, Streit, Straße",/ʃd/,st,"Stuhl, Stau, stehen, Stift",,/ʃt/,st,"\ee{St}rand, \ee{St}ress, \ee{St}reit, \ee{St}raße",/ʃd/,st,"\ee{St}uhl, \ee{St}au, \ee{st}ehen, \ee{St}ift"
/st/,st,"Fenster, Test, best, Kunst",/sp/,sp,"Respekt, Prospekt, Aspekt",,/st/,st,"Fen\ee{st}er, Te\ee{st}, be\ee{st}, Kun\ee{st}",/sp/,sp,"Re\ee{sp}ekt, Pro\ee{sp}ekt, A\ee{sp}ekt"
/ç/,ch,"Chinesisch, leicht, Milch",/ig/,ig,"wichtiger, richtige, langweilige",,/ç/,ch,"\ee{Ch}inesis\ee{ch}, lei\ee{ch}t, Mil\ee{ch}",/ig/,ig,"wicht\ee{ig}er, richt\ee{ig}e, langweil\ee{ig}e"
/iç/,ig,"wichtig, wenig, fließig",,,,,/iç/,ig,"wicht\ee{ig}, wen\ee{ig}, fließ\ee{ig}",,,
/h/,h,"Haus, Haut, helfen, halb",/x/,ch,"Achtung, Bach, Krach",,/h/,h,"\ee{H}aus, \ee{H}aut, \ee{h}elfen, \ee{h}alb",/x/,ch,"A\ee{ch}tung, Ba\ee{ch}, Kra\ee{ch}"
,,,,,"Loch, Woche, noch, hoch",,,,,,,"Lo\ee{ch}, Wo\ee{ch}e, no\ee{ch}, ho\ee{ch}"
,,,,,"Buch, Wucht, Tuch",,,,,,,"Bu\ee{ch}, Wu\ee{ch}t, Tu\ee{ch}"
,,,,,"Bauch, Lauch, rauchen",,,,,,,"Bau\ee{ch}, Lau\ee{ch}, rau\ee{ch}en"
/j/,j,"Japan, jeder, ja, Joghurt",/dʒ/,j,"Job, joggen, Jeans",,/j/,j,"\ee{J}apan, \ee{j}eder, \ee{j}a, \ee{J}oghurt",/dʒ/,j,"\ee{J}ob, \ee{j}oggen, \ee{J}eans"
,y,"Yoga, Yacht, Yen",/ʒ/,g,Orange,,,y,"\ee{Y}oga, \ee{Y}acht, \ee{Y}en",/ʒ/,g,Oran\ee{g}e
/ŋ/,ng,"Englisch, Angst, singen, lang",/uŋ/,ung,"Lesung, Zeitung, Schwung",,/ŋ/,ng,"E\ee{ng}lisch, A\ee{ng}st, si\ee{ng}en, la\ee{ng}",/uŋ/,ung,"Les\ee{ung}, Zeit\ee{ung}, Schw\ee{ung}"
/ŋk/,nk,"Schrank, tanken, danken",/ln/,ln,"regeln, hobeln",,/ŋk/,nk,"Schra\ee{nk}, ta\ee{nk}en, da\ee{nk}en",/ln/,ln,"rege\ee{ln}, hobe\ee{ln}"
/ks/,ks,"Keks, links, Koks",/kv/,qu,"Qual, Quelle, Quatsch",,/ks/,ks,"Ke\ee{ks}, lin\ee{ks}, Ko\ee{ks}",/kv/,qu,"\ee{Qu}al, \ee{Qu}elle, \ee{Qu}atsch"
,x,"Fax, Text, Praxis, Lexikon",,,,,,x,"Fa\ee{x}, Te\ee{x}t, Pra\ee{x}is, Le\ee{x}ikon",,,
,chs,"Fuchs, wachsen, sechs",,,,,,chs,"Fu\ee{chs}, wa\ee{chs}en, se\ee{chs}",,,
/pf/,pf,"Pfund, Pfad, Pflicht, pfeifen",,,,,/pf/,pf,"\ee{Pf}und, \ee{Pf}ad, \ee{Pf}licht, \ee{pf}eifen",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"M\e{a}nn, B\e{a}ll, f\e{a}st, St\e{a}dt",,,,,,,,,,
,,"\e{a}n, \e{a}m, \e{a}b, d\e{a}s, h\e{a}t, m\e{a}n",,,,,,,,,,
,,,,,,,,,,,,
,,"B\e{i}tte, \e{i}st, Z\e{i}mmer, d\e{i}ck",,,,,,,,,,
,,"\e{i}n, \e{i}m, m\e{i}t, f\e{i}t, b\e{i}s",,,,,,,,,,
,,,,,,,,,,,,
,,"\e{o}ft, B\e{o}nn, k\e{o}mmen, M\e{o}rgen",,,,,,,,,,
,,\e{o}b,,,,,,,,,,
,,,,,,,,,,,,
,,"H\e{u}nd, B\e{u}tter, d\e{u}mm, N\e{u}ll",,,,,,,,,,
,,"\e{u}m, B\e{u}s",,,,,,,,,,
,,"B\e{e}tt, \e{e}lf, \e{e}ss\e{e}n, H\e{e}ft",,,,,,,,,,
,,"L\e{ä}nder, H\e{ä}nde, M\e{ä}nner, h\e{ä}tte",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"k\e{ö}nnen, \e{ö}ffnen, K\e{ö}ln, L\e{ö}ffel",,,,,,,,,,
,,,,,,,,,,,,
,,"f\e{ü}nf, Gl\e{ü}ck, d\e{ü}nn, M\e{ü}ller",,,,,,,,,,
,,"Äg\e{y}pten, S\e{y}stem, S\e{y}mbol",,,,,,,,,,
,,,,,,,,,,,,
,,"Nam\e{e}, Tag\e{e}, Woch\e{e}, Hos\e{e}, b\e{e}komm\e{e}n, g\e{e}fall\e{e}n",,,,,,,,,,
,,"Mal\e{er}, ab\e{er}, Arbeit\e{er}, Koff\e{er}",,,,,,,,,,
,,"leb\e{en}, bad\e{en}, hab\e{en}, lern\e{en}",,,,,,,,,,
,,"Taf\e{el}, Gab\e{el}, Nad\e{el}, Onk\e{el}",,,,,,,,,,
,,,,,,,,,,,,
,,"\e{Ei}, m\e{ei}n, W\e{ei}n, fr\e{ei}",,,,,,,,,,
,,"M\e{ai}, M\e{ai}n, M\e{ai}s, K\e{ai}ser",,,,,,,,,,
,,"B\e{ay}ern, H\e{ay}dn",,,,,,,,,,
,,"M\e{ey}er, B\e{ey}er",,,,,,,,,,
,,"\e{au}f, \e{Au}to, k\e{au}fen, P\e{au}se",,,,,,,,,,
,,"n\e{eu}, h\e{eu}te, n\e{eu}n, \e{Eu}le",,,,,,,,,,
,,"M\e{äu}se, K\e{äu}fer, B\e{äu}me, h\e{äu}fen",,,,,,,,,,
,,,,,,,,,,,,
,,"\e{P}a\e{p}ier, \e{P}eter, Lam\e{p}e, Lu\e{p}e",,,,,,,,,,
,,"Li\e{pp}e, Ma\e{pp}e, ti\e{pp}en",,,,,,,,,,
,,"gel\e{b}, wei\e{b}lich, Lo\e{b}, lie\e{b}",,,,,,,,,,
,,"\e{t}anzen, \e{T}ee, Wu\e{t}, Boo\e{t}",,,,,,,,,,
,,"Be\e{tt}, Ne\e{tt}, Bu\e{tt}er, Bla\e{tt}",,,,,,,,,,
,,"\e{Th}eater, Ru\e{th}, \e{Th}omas",,,,,,,,,,
,,"Hun\e{d}, wil\e{d}, mil\e{d}, sü\e{d}lich",,,,,,,,,,
,,"Schmi\e{dt}, verwan\e{dt}",,,,,,,,,,
,,"\e{K}iste, \e{K}orb, \e{k}ommen",,,,,,,,,,
,,A\e{kk}u,,,,,,,,,,
,,"Ta\e{g}, Bur\e{g}, We\e{g}",,,,,,,,,,
,,"E\e{ck}e, ha\e{ck}en, we\e{ck}en",,,,,,,,,,
,,Clown Café,,,,,,,,,,
,,"\e{ch}aotis\e{ch}, \e{Ch}or, \e{Ch}lor, \e{Ch}arakter",,,,,,,,,,
,,"\e{M}und, \e{M}utter, \e{m}orgen",,,,,,,,,,
,,"Ko\e{mm}a, du\e{mm}, Ka\e{mm}",,,,,,,,,,
,,"\e{L}iebe, \e{L}ied, ka\e{l}t, Go\e{l}d",,,,,,,,,,
,,"Ba\e{ll}, he\e{ll}, gefa\e{ll}en, to\e{ll}",,,,,,,,,,
,,,,,,,,,,,,
,,"\e{F}amilie, \e{F}ernseher, \e{F}eind",,,,,,,,,,
,,"Karto\e{ff}el, Gri\e{ff}, ö\e{ff}nen",,,,,,,,,,
,,"\e{V}ater, informati\e{v}, subjekti\e{v}",,,,,,,,,,
,,"\e{Ph}oto, \e{Ph}ase, \e{Ph}ysik",,,,,,,,,,
